timestamp,open,high,low,close,volume
2019-03-29,8.8000,8.8900,8.7100,8.7800,33962755
2019-03-28,8.6500,8.8300,8.6400,8.7700,38914696
2019-03-27,8.7500,8.8600,8.6200,8.6200,39895763
2019-03-26,8.5400,8.7600,8.5400,8.7600,47852114
2019-03-25,8.5600,8.6500,8.4700,8.5100,45849484
2019-03-22,8.6300,8.6700,8.5200,8.5400,41963991
2019-03-21,8.5000,8.6900,8.4900,8.6900,46843085
2019-03-20,8.6700,8.6700,8.4800,8.5100,54539726
2019-03-19,8.6100,8.8700,8.6100,8.7000,57293608
2019-03-18,8.4500,8.5700,8.4200,8.5700,37198328
2019-03-15,8.4200,8.4700,8.3700,8.4300,66555519
2019-03-14,8.5200,8.5500,8.4000,8.4100,36307868
2019-03-13,8.5900,8.6500,8.5000,8.5300,49018694
2019-03-12,8.6500,8.7000,8.5500,8.5700,37805025
2019-03-11,8.4600,8.6300,8.4500,8.6100,36875290
2019-03-08,8.4000,8.4700,8.3400,8.4200,43766799
2019-03-07,8.5600,8.5700,8.3450,8.4800,54285995
2019-03-06,8.7500,8.7800,8.5600,8.5800,50378587
2019-03-05,8.8000,8.8100,8.7000,8.7700,40852648
2019-03-04,8.8300,8.9700,8.7600,8.8100,46196859
2019-03-01,8.8500,8.8900,8.7100,8.7900,37699506
2019-02-28,8.7700,8.7900,8.6000,8.7700,43960541
2019-02-27,8.8300,8.9100,8.7800,8.7800,34093320
2019-02-26,8.7500,8.9400,8.7200,8.8800,38348838
2019-02-25,8.7700,8.8500,8.7500,8.7600,56615428
2019-02-22,8.7300,8.7500,8.5600,8.7100,40947503
2019-02-21,8.9400,8.9550,8.7000,8.7100,44730351
2019-02-20,8.8300,8.9800,8.8200,8.9400,55316868
2019-02-19,8.5300,8.8450,8.5300,8.8300,37929175
2019-02-15,8.4900,8.5600,8.4100,8.5400,58080330
2019-02-14,8.3800,8.4700,8.3200,8.4200,23569872
2019-02-13,8.4500,8.6600,8.3900,8.4100,27182886
2019-02-12,8.3800,8.4700,8.3800,8.4600,26235089
2019-02-11,8.4100,8.4400,8.2900,8.3300,27403546
2019-02-08,8.2900,8.4100,8.1600,8.3900,38650090
2019-02-07,8.6200,8.6200,8.2900,8.3100,55161837
2019-02-06,8.7900,8.9000,8.6800,8.7200,32644299
2019-02-05,8.6800,8.7600,8.6500,8.7500,26166848
2019-02-04,8.7000,8.7000,8.5900,8.7000,28855569
2019-02-01,8.7700,8.8100,8.6200,8.7200,34124005
2019-01-31,8.6200,8.8200,8.6000,8.8000,39389094
